Test_Time Megabytes_per_second
1 4.904106140136719
2 392.2177085876465
5 4838.625874519348
10 11621.542698860168
15 17842.22327709198
20 22743.92421913147
30 34562.16290283203
50 56646.17735862732
70 82077.15075302124
100 114552.79508972168
150 184449.89835071564
200 280740.1092672348
300 451698.68480205536
