Test_Time Megabytes_per_second
1 4.904055595397949
2 428.8420829772949
5 3597.6240606307983
10 7698.073499679565
15 11753.611943244934
20 15412.30879688263
30 23226.095630645752
50 39497.29881191254
70 54642.1492395401
100 20857.215220451355
150 636.8635921478271
200 1979.7376098632812
300 2486.7276124954224
