Test_Time Megabytes_per_second
1 4.1859941482543945
2 29.48762798309326
5 287.03078746795654
10 1832.3598537445068
15 4538.575198173523
20 9994.124610900879
30 15087.00318813324
50 28737.843012809753
70 38757.89701843262
100 54913.46287441254
150 88846.80432033539
200 109380.56365680695
300 167586.6535844803
