Test_Time Megabytes_per_second
1 4.185927391052246
2 29.48681354522705
5 213.16803169250488
10 1280.1291799545288
15 3260.70463180542
20 5134.564847946167
30 5058.730295181274
50 13952.79063796997
70 20602.201852798462
100 29120.661540985107
150 42658.217212677
200 54084.03797626495
300 91228.18859958649
