Test_Time Megabytes_per_second
1 207.09643173217773
2 1154.4701843261719
5 4802.343373298645
10 8448.796866416931
15 12182.480657577515
20 16333.812432289124
30 25282.04275894165
50 44471.31390762329
70 63229.134689331055
100 74535.41642189026
150 135407.1778125763
200 139654.26142406464
300 267036.8633146286
