Test_Time Megabytes_per_second
1 227.16686153411865
2 1219.8274412155151
5 5483.281614303589
10 12647.333562850952
15 18836.65980911255
20 25606.094851493835
30 37773.90265369415
50 64019.29029464722
70 92236.69777107239
100 129454.7766456604
150 199393.46596622467
200 266713.3867902756
300 270797.643453598
