Test_Time Megabytes_per_second
1 214.93982410430908
2 1104.1625051498413
5 4968.8972816467285
10 11809.601046562195
15 18437.25896549225
20 25093.36043071747
30 36750.01351070404
50 62523.06700897217
70 90141.03924274445
100 124653.74162769318
150 200349.1337070465
200 268868.19527053833
300 370350.9453449249
